API endpointi,,,,,,,,,,,,,,,,,,,,,,,,,
Predlog API ruta za prva 3 zaključena modula.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID API,Metoda,Ruta,Opis,Modul,Status,Povezana funkcija,Testirano,Napomena,,,,,,,,,,,,,,,,,
API-032,GET,/api/journal-types,Vrste naloga.,Nalozi,Implementirano djelimicno,F-024,Ne,"Vrste naloga se citaju server-rendered stranicom, bez posebnog REST API-ja.",,,,,,,,,,,,,,,,,
API-033,POST,/api/journal-types,Kreiranje vrste naloga.,Nalozi,Implementirano djelimicno,F-024,Ne,Kreiranje vrste naloga postoji kao server action.,,,,,,,,,,,,,,,,,
API-034,GET,/api/journals,Lista naloga.,Nalozi,Implementirano djelimicno,F-026,Ne,Lista naloga postoji kao server-rendered stranica.,,,,,,,,,,,,,,,,,
API-035,POST,/api/journals,Kreiranje naloga.,Nalozi,Implementirano djelimicno,"F-026,F-027",Ne,Kreiranje naloga postoji kao server action.,,,,,,,,,,,,,,,,,
API-036,GET,/api/journals/:id,Detalj naloga.,Nalozi,Implementirano djelimicno,F-026,Ne,Detalj naloga postoji kao server-rendered stranica.,,,,,,,,,,,,,,,,,
API-037,PUT,/api/journals/:id,Izmjena nacrta naloga.,Nalozi,Nije poceto,"F-028,F-030",Ne,Izmjena postojeceg nacrta jos nije implementirana.,,,,,,,,,,,,,,,,,
API-038,POST,/api/journals/:id/post,Knjiženje naloga.,Nalozi,Implementirano djelimicno,F-029,Ne,Knjiženje naloga postoji kao server action.,,,,,,,,,,,,,,,,,
API-039,POST,/api/journals/:id/reopen,Vraćanje proknjiženog naloga u nacrt.,Nalozi,Implementirano djelimicno,F-030,Ne,Vraćanje proknjiženog naloga u nacrt postoji kao server action.,,,,,,,,,,,,,,,,,
API-040,DELETE,/api/journals/:id,Soft delete naloga.,Nalozi,Implementirano djelimicno,F-031,Ne,Soft delete naloga postoji kao server action.,,,,,,,,,,,,,,,,,
API-041,GET,/api/journals/:id/document-links,Veze naloga sa dokumentima.,Nalozi,Nije poceto,F-032,Ne,Veze dokument-nalog jos nisu implementirane.,,,,,,,,,,,,,,,,,
API-042,POST,/api/journals/:id/document-links,Dodavanje veze dokument-nalog.,Nalozi,Nije poceto,F-032,Ne,Veze dokument-nalog jos nisu implementirane.,,,,,,,,,,,,,,,,,
API-043,POST,/api/companies/:id/business-years/:yearId/opening-balance/generate,Generisanje početnog stanja.,Nalozi,Nije poceto,F-035,Ne,Generisanje pocetnog stanja jos nije implementirano.,,,,,,,,,,,,,,,,,
API-044,GET,/api/partners,Lista partnera.,Nalozi,Nije poceto,F-036,Ne,Poseban API/stranica partnera jos nije implementiran.,,,,,,,,,,,,,,,,,
API-045,POST,/api/partners,Kreiranje partnera.,Nalozi,Nije poceto,F-036,Ne,Poseban API/stranica partnera jos nije implementiran.,,,,,,,,,,,,,,,,,
API-046,GET,/api/reports/trial-balance,Bruto bilans.,Nalozi,Implementirano djelimicno,F-038,Djelimicno,"Bruto bilans je implementiran kao server-rendered izvještaj sa filterima i print rutom, ne kao zaseban JSON API.",,,,,,,,,,,,,,,,,
API-047,GET,/api/reports/partner-card,Kartica partnera.,Nalozi,Implementirano kroz server stranicu,F-037,"Kartica partnera/konta radi kroz server-rendered stranicu, bez posebnog API endpointa za sada.",Kartica partnera jos nije implementirana.,,,,,,,,,,,,,,,,,
API-048,GET,/api/reports/partner-summary,Zbirni pregled partnera.,Nalozi,Nije poceto,F-037,Zbirni pregled partnera jos nije izdvojen kao poseban izvjestaj.,Zbirni pregled partnera jos nije implementiran.,,,,,,,,,,,,,,,,,
API-049,GET,/api/nalozi/open-items,Otvorene stavke za konto i partnera u ručnom nalogu.,Nalozi,Implementirano,F-027,Djelimicno,"Endpoint koristi aktivnu firmu/godinu i samo POSTED naloge; vraca otvorene dokumente za kupce/dobavljace za modal na broju dokumenta.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
API-049,GET,/api/items,Lista artikala i usluga.,Robno knjigovodstvo,Zaključeno,F-039,Ne,,,,,,,,,,,,,,,,,,
API-050,POST,/api/items,Kreiranje artikla/usluge.,Robno knjigovodstvo,Zaključeno,F-039,Ne,,,,,,,,,,,,,,,,,,
API-051,GET,/api/items/:id,Detalj artikla.,Robno knjigovodstvo,Zaključeno,F-039,Ne,,,,,,,,,,,,,,,,,,
API-052,PUT,/api/items/:id,Izmjena artikla.,Robno knjigovodstvo,Zaključeno,F-039,Ne,,,,,,,,,,,,,,,,,,
API-053,DELETE,/api/items/:id,Soft delete artikla.,Robno knjigovodstvo,Zaključeno,F-039,Ne,,,,,,,,,,,,,,,,,,
API-054,GET,/api/items/:itemId/prices,Cijene artikla.,Robno knjigovodstvo,Zaključeno,F-040,Ne,,,,,,,,,,,,,,,,,,
API-055,POST,/api/items/:itemId/prices,Dodavanje cijene artikla.,Robno knjigovodstvo,Zaključeno,F-040,Ne,,,,,,,,,,,,,,,,,,
API-056,PUT,/api/item-prices/:id,Izmjena cijene artikla.,Robno knjigovodstvo,Zaključeno,F-040,Ne,,,,,,,,,,,,,,,,,,
API-057,GET,/api/warehouses,Lista magacina.,Robno knjigovodstvo,Zaključeno,F-041,Ne,,,,,,,,,,,,,,,,,,
API-058,POST,/api/warehouses,Kreiranje magacina.,Robno knjigovodstvo,Zaključeno,F-041,Ne,,,,,,,,,,,,,,,,,,
API-059,PUT,/api/warehouses/:id,Izmjena magacina.,Robno knjigovodstvo,Zaključeno,F-041,Ne,,,,,,,,,,,,,,,,,,
API-060,GET,/api/stock/balances,Pregled stanja zaliha.,Robno knjigovodstvo,Zaključeno,F-042,Ne,,,,,,,,,,,,,,,,,,
API-061,GET,/api/stock/movements,Promet zaliha.,Robno knjigovodstvo,Zaključeno,F-060,Ne,,,,,,,,,,,,,,,,,,
API-062,GET,/api/stock/item-card,Kartica artikla.,Robno knjigovodstvo,Zaključeno,F-060,Ne,,,,,,,,,,,,,,,,,,
API-063,GET,/api/reports/stock-list,Lager lista.,Robno knjigovodstvo,Zaključeno,F-060,Ne,,,,,,,,,,,,,,,,,,
API-064,GET,/api/calculations,Lista kalkulacija.,Robno knjigovodstvo,Zaključeno,F-045,Ne,,,,,,,,,,,,,,,,,,
API-065,POST,/api/calculations,Kreiranje kalkulacije.,Robno knjigovodstvo,Zaključeno,F-045,Ne,,,,,,,,,,,,,,,,,,
API-066,GET,/api/calculations/:id,Detalj kalkulacije.,Robno knjigovodstvo,Zaključeno,F-045,Ne,,,,,,,,,,,,,,,,,,
API-067,PUT,/api/calculations/:id,Izmjena kalkulacije.,Robno knjigovodstvo,Zaključeno,F-045,Ne,,,,,,,,,,,,,,,,,,
API-068,POST,/api/calculations/:id/post,Knjiženje kalkulacije.,Robno knjigovodstvo,Zaključeno,"F-045,F-061",Ne,,,,,,,,,,,,,,,,,,
API-069,POST,/api/calculations/:id/reopen,Vraćanje kalkulacije u nacrt.,Robno knjigovodstvo,Zaključeno,F-045,Ne,,,,,,,,,,,,,,,,,,
API-070,POST,/api/calculations/:id/allocate-dependent-costs,Raspored zavisnih troškova.,Robno knjigovodstvo,Zaključeno,F-046,Ne,,,,,,,,,,,,,,,,,,
API-071,POST,/api/calculations/:id/import-declaration,Unos carinske deklaracije.,Robno knjigovodstvo,Zaključeno,F-051,Ne,,,,,,,,,,,,,,,,,,
API-072,GET,/api/calculations/:id/import-declaration,Pregled carinske deklaracije.,Robno knjigovodstvo,Zaključeno,F-051,Ne,,,,,,,,,,,,,,,,,,
API-073,GET,/api/supplier-returns,Lista povrata dobavljaču.,Robno knjigovodstvo,Zaključeno,F-052,Ne,,,,,,,,,,,,,,,,,,
API-074,POST,/api/supplier-returns,Kreiranje povrata dobavljaču.,Robno knjigovodstvo,Zaključeno,F-052,Ne,,,,,,,,,,,,,,,,,,
API-075,POST,/api/supplier-returns/:id/post,Knjiženje povrata dobavljaču.,Robno knjigovodstvo,Zaključeno,"F-052,F-061",Ne,,,,,,,,,,,,,,,,,,
API-076,POST,/api/supplier-returns/:id/link-calculation,Povezivanje povrata sa kalkulacijom.,Robno knjigovodstvo,Zaključeno,F-052,Ne,,,,,,,,,,,,,,,,,,
API-077,GET,/api/warehouse-transfers,Lista prenosa robe.,Robno knjigovodstvo,Zaključeno,F-054,Ne,,,,,,,,,,,,,,,,,,
API-078,POST,/api/warehouse-transfers,Kreiranje prenosa robe.,Robno knjigovodstvo,Zaključeno,F-054,Ne,,,,,,,,,,,,,,,,,,
API-079,SERVER_ACTION,/agencija/podesavanja/pdv-stope,"Kreiranje, izmjena i aktivacija/deaktivacija PDV stopa.",Podešavanja / PDV,Implementirano,F-062,Djelimicno,"Server actions: createVatRate, updateVatRate, toggleVatRate.",,,,,,,,,,,,,,,,,
API-080,SERVER_ACTION,/agencija/racuni/kuf i /agencija/racuni/kuf/[id],"Kreiranje KUF/KIF knjige sa dinamičkom vrstom, kreiranje KUF/KIF računa, kreiranje vrsta i čuvanje šeme kontiranja po poljima.",Računi / KUF,Implementirano djelimicno,F-063,Djelimicno,"Dodati su MAPR/SEP import, KIF/KUF print, edit/delete neproknjiženih i automatsko knjiženje knjiga.",,,,,,,,,,,,,,,,,
