Baza podataka,,,,,,,,,,,,,,,,,,,,,,,,,
Plan tabela i ključnih polja za prva 3 zaključena modula.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID tabele,Naziv tabele,Opis,Ključna polja,Povezan modul,Status,Napomena,,,,,,,,,,,,,,,,,,,
DB-019,journal_types,Vrste naloga.,"agency_id, company_id, code, name, is_system, number_prefix",Nalozi,Implementirano,Vrste naloga postoje kao vrste_naloga; seedovane su sistemske vrste i podrzane agencijske/firmine vrste.,,,,,,,,,,,,,,,,,,,
DB-020,journal_number_sequences,Brojači naloga.,"company_id, business_year_id, journal_type_id, next_number",Nalozi,Implementirano djelimicno,Posebna tabela brojaca nije uvedena; broj se dodjeljuje po max broj za firma+godina+vrsta u transakciji.,,,,,,,,,,,,,,,,,,,
DB-021,journals,Zaglavlje naloga.,"agency_id, company_id, business_year_id, journal_type_id, journal_number, status, source_type",Nalozi,Implementirano,"Zaglavlje naloga postoji kao nalozi: agencija, firma, godina, vrsta, broj, sifra, status, datumi, soft delete.",,,,,,,,,,,,,,,,,,,
DB-022,journal_lines,Stavke naloga.,"journal_id, line_number, account_number, partner_id, line_date, debit, credit",Nalozi,Implementirano djelimicno,"Stavke naloga postoje kao stavke_naloga; koriste firma_konta, komitent, duguje/potrazuje i redni broj.",,,,,,,,,,,,,,,,,,,
DB-023,journal_document_links,Veza naloga i dokumenata.,"journal_id, source_module, source_document_id, source_document_number",Nalozi,Nije poceto,Veza dokument-nalog jos nije implementirana.,,,,,,,,,,,,,,,,,,,
DB-024,business_units,Poslovne/radne jedinice.,"agency_id, company_id, name, code, is_active",Nalozi/Firme,Nije poceto,Poslovne/radne jedinice jos nisu implementirane.,,,,,,,,,,,,,,,,,,,
DB-025,partners,Partneri kupci/dobavljači.,"agency_id, company_id, name, pib, is_customer, is_supplier",Nalozi,Implementirano,"Partneri postoje kao centralni komitenti sa scope GLOBAL/AGENCY/COMPANY; dodata IRMS polja pravna_forma, sifra_djelatnosti, datum_registracije i importovano 64.750 globalnih partnera.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DB-026,items,Artikli i usluge.,"agency_id, company_id, code, name, is_service, tracks_stock",Robno knjigovodstvo,Zaključeno,F-039,,,,,,,,,,,,,,,,,,,
DB-027,item_groups,Grupe artikala.,"agency_id, company_id, code, name",Robno knjigovodstvo,Zaključeno,F-039,,,,,,,,,,,,,,,,,,,
DB-028,item_prices,Više cijena artikla.,"item_id, price_type, price_without_vat, price_with_vat, valid_from",Robno knjigovodstvo,Zaključeno,F-040,,,,,,,,,,,,,,,,,,,
DB-029,warehouses,Magacini firme.,"company_id, business_unit_id, code, name, allow_negative_stock",Robno knjigovodstvo,Zaključeno,F-041,,,,,,,,,,,,,,,,,,,
DB-030,stock_balances,Trenutno stanje zaliha.,"company_id, business_year_id, warehouse_id, item_id, quantity, average_cost",Robno knjigovodstvo,Zaključeno,F-042,,,,,,,,,,,,,,,,,,,
DB-031,stock_movements,Kartica artikla i promet zaliha.,"document_type, document_id, item_id, quantity, unit_cost, quantity_after",Robno knjigovodstvo,Zaključeno,F-060,,,,,,,,,,,,,,,,,,,
DB-032,calculations,Zaglavlje kalkulacije.,"supplier_id, warehouse_id, calculation_type, sale_type, status, journal_id",Robno knjigovodstvo,Zaključeno,"F-045,F-051",,,,,,,,,,,,,,,,,,,
DB-033,calculation_lines,Stavke kalkulacije.,"calculation_id, item_id, quantity, purchase_price, vat, sales_price",Robno knjigovodstvo,Zaključeno,F-045,,,,,,,,,,,,,,,,,,,
DB-034,calculation_dependent_costs,Zavisni troškovi kalkulacije.,"calculation_id, cost_type, amount, allocation_method",Robno knjigovodstvo,Zaključeno,F-046,,,,,,,,,,,,,,,,,,,
DB-035,import_declarations,Carinske deklaracije za uvoz.,"calculation_id, declaration_number, customs_amount, customs_vat_amount",Robno knjigovodstvo,Zaključeno,F-051,,,,,,,,,,,,,,,,,,,
DB-036,supplier_returns,Zaglavlje povrata dobavljaču.,"supplier_id, warehouse_id, return_number, status, journal_id",Robno knjigovodstvo,Zaključeno,F-052,,,,,,,,,,,,,,,,,,,
DB-037,supplier_return_lines,Stavke povrata dobavljaču.,"supplier_return_id, item_id, quantity, purchase_value",Robno knjigovodstvo,Zaključeno,F-052,,,,,,,,,,,,,,,,,,,
DB-038,warehouse_transfers,Zaglavlje prenosa robe.,"source_warehouse_id, destination_warehouse_id, transfer_number, status",Robno knjigovodstvo,Zaključeno,F-054,,,,,,,,,,,,,,,,,,,
DB-039,warehouse_transfer_lines,Stavke prenosa robe.,"warehouse_transfer_id, item_id, quantity, unit_cost",Robno knjigovodstvo,Zaključeno,F-054,,,,,,,,,,,,,,,,,,,
DB-040,stock_counts,Zaglavlje popisa robe.,"warehouse_id, count_number, count_date, status, journal_id",Robno knjigovodstvo,Zaključeno,F-055,,,,,,,,,,,,,,,,,,,
DB-041,stock_count_lines,Stavke popisa.,"stock_count_id, item_id, book_quantity, actual_quantity, difference_type",Robno knjigovodstvo,Zaključeno,"F-055,F-056,F-057",,,,,,,,,,,,,,,,,,,
DB-042,stock_writeoffs,Zaglavlje otpisa robe.,"warehouse_id, writeoff_number, reason, status, journal_id",Robno knjigovodstvo,Zaključeno,F-058,,,,,,,,,,,,,,,,,,,
DB-043,stock_writeoff_lines,Stavke otpisa robe.,"stock_writeoff_id, item_id, quantity, unit_cost, total_cost",Robno knjigovodstvo,Zaključeno,F-058,,,,,,,,,,,,,,,,,,,
DB-044,price_adjustments,Zaglavlje nivelacije.,"warehouse_id, adjustment_number, adjustment_date, status, journal_id",Robno knjigovodstvo,Zaključeno,F-059,,,,,,,,,,,,,,,,,,,
DB-045,price_adjustment_lines,Stavke nivelacije.,"price_adjustment_id, item_id, old_retail_price, new_retail_price",Robno knjigovodstvo,Zaključeno,F-059,,,,,,,,,,,,,,,,,,,
DB-046,pdv_stope,Šifarnik PDV stopa po agenciji.,"agency_id, code, name, percent, is_active, display_order, valid_from, valid_to",Podešavanja / PDV,Implementirano,Migracija 20260621090000_pdv_stope.,,,,,,,,,,,,,,,,,,,
DB-047,kuf_entries,Zaglavlje KUF zapisa.,"kuf_book_id, agency_id, company_id, business_year_id, supplier_id, expense_account_id, internal_kuf_number, totals, status",Računi / KUF,Implementirano,KUF zapis je vezan za opcionalnu KUF knjigu; nova unosna logika koristi kuf_book_id.,,,,,,,,,,,,,,,,,,,
DB-048,kuf_entry_tax_lines,Poreska razrada KUF zapisa po PDV stopama.,"kuf_entry_id, vat_rate_id, percent, base, input_vat, deductible_vat, non_deductible_vat",Računi / KUF,Implementirano,Pamti procenat i naziv stope iz trenutka unosa.,,,,,,,,,,,,,,,,,,,
DB-049,kuf_books,Mjesečne KUF knjige po firmi i poslovnoj godini.,"agency_id, company_id, business_year_id, racun_vrsta_id, redni_broj, internal_kuf_number, mjesec, kuf_date, status",Računi / KUF,Implementirano,Migracija 20260621121500_kuf_knjige.,KUF knjige su vezane na dinamičku vrstu računa; probni KUF podaci se brišu migracijom 20260621143000_dinamicke_vrste_racuna_i_seme.,,,,,,,,,,,,,,,,,,
DB-050,racun_vrste,Dinamičke vrste KIF/KUF knjiga.,"agency_id, company_id, document_type, code, name, vrsta_naloga_id, order, system, active",Računi / KIF-KUF,Implementirano,"Vrste se koriste za otvaranje knjiga, izbor šeme kontiranja i izbor vrste naloga za automatsko knjiženje.",Vrste se koriste za otvaranje knjiga i za izbor šeme kontiranja.,,,,,,,,,,,,,,,,,,
DB-051,racun_kontiranje_pravila,Pravila kontiranja po vrsti KIF/KUF i polju iznosa.,"invoice_type_id, field_code, field_name, vat_rate_code, debit_credit, account_source, account_code",Računi / KIF-KUF,Implementirano,Podržava konto iz unosa računa i izabrano konto; pravila se koriste za automatsko kreiranje stavki naloga iz KIF/KUF knjiga.,Podržava konto iz unosa računa i izabrano konto.,,,,,,,,,,,,,,,,,,
DB-052,kif_books,Mjesečne KIF knjige po firmi i poslovnoj godini.,"agency_id, company_id, business_year_id, invoice_type_id, number, month, kif_date, status",Računi / KIF,Implementirano,F-063,Migracija 20260621152000_kif_knjige_i_racuni.,,,,,,,,,,,,,,,,,,
DB-053,kif_entries / kif_entry_tax_lines,KIF izlazni računi i poreska razrada.,"customer_id, revenue_account_id, totals, tax lines by VAT rate",Računi / KIF,Implementirano,F-063,Osnovni unos KIF računa je povezan sa šemom kontiranja.,,,,,,,,,,,,,,,,,,
DB-054,pdv_periodi,PDV periodi po mjesecu aktivne firme/godine.,"agencija_id, firma_id, poslovna_godina_id, mjesec, datum_od, datum_do, status",PDV,Implementirano,F-072,Migracija 20260628150000_pdv_periodi_prijave_podesavanja.,,,,,,,,,,,,,,,,,,
DB-055,pdv_prijave,PDV prijava za period.,"pdv_period_id, totals, status, journal_id, xml_generated_at",PDV,Implementirano djelimicno,F-074,Jedna prijava po periodu; pamti zbirne iznose i nalog knjiženja.,,,,,,,,,,,,,,,,,,
DB-056,pdv_prijava_stavke,Redovi PDV prijave.,"pdv_prijava_id, sifra, opis, kolona, sistemska_vrijednost, rucna_vrijednost, razlog_korekcije",PDV,Implementirano djelimicno,F-074,Čuva sistemsku i ručnu vrijednost po redu obrasca.,,,,,,,,,,,,,,,,,,
