Pravila poslovne logike,,,,,,,,,,,,,,,,,,,,,,,,,
Zaključena poslovna i tehnička pravila za prva 3 modula. Svako pravilo treba povezivati sa funkcionalnostima i testovima.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID pravila,Modul,Naziv pravila,Opis pravila,Prioritet,Status,Implementirano u,Testirano,Povezane funkcije,Napomena,,,,,,,,,,,,,,,,
R-013,Firme i kontni plan,PIB unique po agenciji,"PIB je jedinstven u okviru jedne agencije, ali ista firma može postojati kod više agencija.",Vrlo visok,Zaključeno,Baza,Ne,F-012,UNIQUE agency_id + pib.,,,,,,,,,,,,,,,,
R-014,Firme i kontni plan,IRMS podaci se potvrđuju,Podaci povučeni iz IRMS-a mogu se ručno izmijeniti prije snimanja.,Visok,Zaključeno,Backend/UI,Ne,F-013,,,,,,,,,,,,,,,,,
R-015,Firme i kontni plan,Poslovna godina obavezna,Sve knjigovodstvene stavke moraju biti vezane za poslovnu godinu.,Vrlo visok,Zaključeno,Baza/Backend,Ne,F-014,,,,,,,,,,,,,,,,,
R-016,Firme i kontni plan,Automatska tekuća godina,Pri kreiranju firme automatski se otvara tekuća poslovna godina.,Vrlo visok,Zaključeno,Backend,Ne,F-014,,,,,,,,,,,,,,,,,
R-017,Firme i kontni plan,Jedna godina jednom,Firma ne može imati dvije iste poslovne godine.,Vrlo visok,Zaključeno,Baza,Ne,F-014,UNIQUE company_id + year.,,,,,,,,,,,,,,,,
R-018,Firme i kontni plan,Zaključana godina blokira izmjene,Zaključana poslovna godina ne smije dozvoliti izmjene naloga bez otključavanja.,Vrlo visok,Zaključeno,Backend,Ne,"F-015,F-030",,,,,,,,,,,,,,,,,
R-019,Firme i kontni plan,Firma van PDV sistema,Kod firme van PDV sistema ne knjiži se posebna PDV stavka; PDV ulazi u trošak/nabavnu vrijednost.,Vrlo visok,Zaključeno,Backend,Ne,F-016,,,,,,,,,,,,,,,,,
R-020,Firme i kontni plan,Firma u PDV sistemu,Kod firme u PDV sistemu PDV se knjiži posebno i ulazi u PDV evidenciju.,Vrlo visok,Zaključeno,Backend,Ne,F-016,,,,,,,,,,,,,,,,,
R-021,Firme i kontni plan,Više bankovnih računa,Firma može imati više bankovnih računa i valuta.,Visok,Zaključeno,Baza/UI,Ne,F-017,,,,,,,,,,,,,,,,,
R-022,Firme i kontni plan,Više klijenata firme,Jedna firma može imati više klijentskih korisnika sa različitim pravima pregleda.,Visok,Zaključeno,Backend/Baza,Ne,F-018,,,,,,,,,,,,,,,,,
R-023,Firme i kontni plan,Više radnika na firmi,Jednu firmu može raditi više radnika agencije sa različitim ulogama.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-019,,,,,,,,,,,,,,,,,
R-024,Firme i kontni plan,Deaktivacija firme ne briše podatke,"Firma se arhivira/deaktivira, ali dokumenti, nalozi i istorija ostaju.",Vrlo visok,Zaključeno,Backend/Baza,Ne,F-012,,,,,,,,,,,,,,,,,
R-025,Firme i kontni plan,Osnovni kontni plan + override,Kompletan kontni plan se ne kopira po firmi; čuvaju se samo specifična konta i izmjene.,Vrlo visok,Zaključeno,Baza/Backend,Ne,"F-021,F-022",,,,,,,,,,,,,,,,,
R-026,Firme i kontni plan,Konto unique u firmi,Broj konta mora biti jedinstven u kombinovanom kontnom planu firme.,Vrlo visok,Zaključeno,Baza/Backend,Ne,F-022,,,,,,,,,,,,,,,,,
R-027,Firme i kontni plan,Deaktivirano konto,"Deaktivirano konto se ne nudi za nova knjiženja, ali ostaje u istoriji.",Visok,Zaključeno,Backend,Ne,F-022,,,,,,,,,,,,,,,,,
R-028,Firme i kontni plan,Default konta,Automatsko knjiženje koristi podrazumijevana konta firme i godine.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-023,,,,,,,,,,,,,,,,,
R-029,Nalozi za knjiženje,Vrste naloga nijesu hardkodirane,"Postoje sistemske vrste, ali firma može otvoriti svoje vrste naloga.",Vrlo visok,Zaključeno,Backend/Baza,Ne,F-024,,,,,,,,,,,,,,,,,
R-030,Nalozi za knjiženje,Numeracija po vrsti,Svaka vrsta naloga ima svoj brojač po firmi i poslovnoj godini.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-025,,,,,,,,,,,,,,,,,
R-031,Nalozi za knjiženje,Zabrana duplih brojeva,Ne smiju postojati dva naloga iste vrste sa istim brojem u istoj firmi/godini.,Vrlo visok,Zaključeno,Baza,Ne,F-025,UNIQUE company_id + business_year_id + journal_type_id + journal_number.,,,,,,,,,,,,,,,,
R-032,Nalozi za knjiženje,Zaglavlje i stavke,Nalog ima zaglavlje i tabelarne stavke; poslovna jedinica je opciona u zaglavlju.,Vrlo visok,Zaključeno,Backend/UI/Baza,Ne,"F-026,F-027",,,,,,,,,,,,,,,,,
R-033,Nalozi za knjiženje,Ručni nalog bez tolerancije,Ručni nalog mora biti izbalansiran tačno u cent da bi se proknjižio.,Vrlo visok,Zaključeno,Backend,Ne,F-029,,,,,,,,,,,,,,,,,
R-034,Nalozi za knjiženje,Automatski nalog tolerancija 0.01,Automatsko knjiženje može tolerisati razliku 0.01 EUR zbog zaokruživanja.,Visok,Zaključeno,Backend,Ne,F-033,,,,,,,,,,,,,,,,,
R-035,Nalozi za knjiženje,Nacrt ne ulazi u knjige,"Nacrt ne ulazi u bruto bilans, analitičke kartice ni izvještaje.",Vrlo visok,Zaključeno,Backend/Izvještaji,Ne,F-028,,,,,,,,,,,,,,,,,
R-036,Nalozi za knjiženje,Proknjižen nalog ulazi u knjige,Samo POSTED nalog ulazi u bruto bilans i analitičke kartice.,Vrlo visok,Zaključeno,Backend/Izvještaji,Ne,"F-029,F-038",,,,,,,,,,,,,,,,,
R-037,Nalozi za knjiženje,Proknjižen se ne mijenja direktno,Proknjižen nalog se prvo mora vratiti u nacrt da bi se mijenjao.,Visok,Zaključeno,Backend/UI,Ne,F-030,,,,,,,,,,,,,,,,,
R-038,Nalozi za knjiženje,Prava izmjene naloga,Korisnik može mijenjati svoje ili tuđe naloge samo ako ima dodijeljeno pravo.,Vrlo visok,Zaključeno,Backend,Ne,"F-008,F-030",,,,,,,,,,,,,,,,,
R-039,Nalozi za knjiženje,Brisanje naloga soft delete,Obrisan nalog ostaje u bazi i ne ulazi u izvještaje.,Visok,Zaključeno,Backend/Baza,Ne,F-031,,,,,,,,,,,,,,,,,
R-040,Nalozi za knjiženje,Bez storna u prvoj verziji,Storno nalozi se ne implementiraju u prvoj verziji.,Srednji,Zaključeno,Arhitektura,Ne,M-003,,,,,,,,,,,,,,,,,
R-041,Nalozi za knjiženje,Jedan dokument jedan nalog,Jedan dokument u pravilu kreira jedan nalog.,Visok,Zaključeno,Backend,Ne,F-032,,,,,,,,,,,,,,,,,
R-042,Nalozi za knjiženje,Jedan nalog više dokumenata,Jedan nalog može biti povezan sa više dokumenata kroz veznu tabelu.,Visok,Zaključeno,Baza/Backend,Ne,F-032,Za grupna knjiženja.,,,,,,,,,,,,,,,,
R-043,Nalozi za knjiženje,Izmjena dokumenta alarmira nalog,"Ako se izvorni dokument promijeni poslije knjiženja, povezani nalog dobija status za pregled.",Visok,Zaključeno,Backend,Ne,F-033,SOURCE_CHANGED / NEEDS_REVIEW.,,,,,,,,,,,,,,,,
R-044,Nalozi za knjiženje,Samo jedno početno stanje,Svaka firma/godina može imati samo jedan nalog početnog stanja.,Vrlo visok,Zaključeno,Baza/Backend,Ne,F-034,,,,,,,,,,,,,,,,,
R-045,Nalozi za knjiženje,Početno stanje odvojeno u bruto bilansu,Početno stanje se prikazuje u posebnim kolonama duguje/potražuje i nije promet tekuće godine.,Vrlo visok,Zaključeno,Izvještaji,Ne,"F-034,F-038",,,,,,,,,,,,,,,,,
R-046,Nalozi za knjiženje,Automatski prenos PS,Krajnje stanje prethodne godine postaje početno stanje nove godine kao nacrt.,Vrlo visok,Zaključeno,Backend,Ne,F-035,,,,,,,,,,,,,,,,,
R-047,Nalozi za knjiženje,Partner zajednička tabela,Jedan partner može biti i kupac i dobavljač.,Vrlo visok,Zaključeno,Baza/Backend,Ne,F-036,,,,,,,,,,,,,,,,,
R-048,Nalozi za knjiženje,Analitičko konto zahtijeva partnera,"Ako je konto analitičko, stavka naloga mora imati partnera.",Vrlo visok,Zaključeno,Backend,Ne,F-037,,,,,,,,,,,,,,,,,
R-049,Nalozi za knjiženje,Kartice po partneru,Sistem mora omogućiti zbirni saldo partnera i detaljne kartice po partneru.,Vrlo visok,Zaključeno,Izvještaji,Ne,F-037,,,,,,,,,,,,,,,,,
R-050,Nalozi za knjiženje,Bruto bilans kolone,"Bruto bilans ima PS duguje/potražuje, promet, ukupno i saldo duguje/potražuje.",Vrlo visok,Zaključeno,Izvještaji,Ne,F-038,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
R-051,Robno knjigovodstvo,Roba i usluge u istoj tabeli,Roba i usluge se vode u istoj tabeli artikala.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-052,Robno knjigovodstvo,Default je roba,"Nova stavka je po defaultu roba, osim ako korisnik čekira uslugu.",Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-053,Robno knjigovodstvo,Usluga checkbox,Usluga se označava checkboxom is_service.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-054,Robno knjigovodstvo,Usluga ne vodi lager,Usluge ne zadužuju i ne razdužuju magacin.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-055,Robno knjigovodstvo,Roba vodi lager,Samo roba vodi količinu i vrijednost zaliha.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-056,Robno knjigovodstvo,Artikli po firmi,"Svaka firma ima svoje artikle, šifre i cijene.",Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-057,Robno knjigovodstvo,Više cijena artikla,"Cijene se vode u posebnoj tabeli i mogu važiti po kupcu, magacinu ili periodu.",Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-058,Robno knjigovodstvo,Više magacina,Firma može imati više magacina.,Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-059,Robno knjigovodstvo,Zalihe po magacinu,"Zalihe se vode po firmi, godini, magacinu i artiklu.",Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-060,Robno knjigovodstvo,Magacin i poslovna jedinica,"Magacin može biti povezan sa poslovnom jedinicom, ali nije isto što i poslovna jedinica.",Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-061,Robno knjigovodstvo,Kalkulacija zadužuje magacin,Kalkulacija uvijek zadužuje izabrani magacin.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-062,Robno knjigovodstvo,Dokument bez zaduženja nije kalkulacija,"Ako dokument ne zadužuje magacin, ne tretira se kao kalkulacija.",Visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-063,Robno knjigovodstvo,Kalkulacija iz računa dobavljača,Kalkulacija se pravi direktno iz računa dobavljača.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
R-064,Robno knjigovodstvo,Kalkulacija kreira nalog,Proknjižena kalkulacija kreira nalog za knjiženje.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-039:F-061,,,,,,,,,,,,,,,,,
